# This file was exported by Greenbyte at 2022-01-27 22:31:07. Please see https://www.greenbyte.com for more information about Greenbyte.
#
# Turbine: Kelmarsh 3
# Turbine type: Senvion MM92 (Senvion MM92 kW)
# Time zone: UTC
# Time interval: 2021-01-01 00:00:00 - 2021-07-01 00:00:00 (181 days)
#
# Kelmarsh 3 Sum production: 2543782 kWh
#
Timestamp start,Timestamp end,Duration,Status,Code,Message,Comment,Service contract category,IEC category
2021-01-01 09:47:28,2021-01-01 10:13:58,00:26:30,Communication,9997,Data communication unavailable,,,
2021-01-03 22:20:51,2021-01-03 23:34:02,01:13:11,Communication,9997,Data communication unavailable,,,
2021-01-06 23:04:02,2021-01-06 23:04:49,00:00:47,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification
2021-01-06 23:04:02,-,-,Informational,100070,Brake program 50,,,Out of Environmental Specification
2021-01-06 23:04:02,2021-01-06 23:14:03,00:10:01,Stop,5760,Hydraulic oil flushing operation,,Operating states  (28),Technical Standby
2021-01-06 23:04:02,-,-,Informational,100060,Brake program 52,,,Full Performance
2021-01-06 23:14:03,-,-,Informational,0,System OK,,System OK (32),Full Performance
2021-01-06 23:14:03,-,-,Informational,100130,Automatic start-up,,,Full Performance
2021-01-06 23:21:10,-,-,Informational,100180,Run-up,,,Technical Standby
2021-01-06 23:23:53,-,-,Informational,100190,Mains connection,,,Full Performance
2021-01-06 23:24:04,-,-,Informational,100200,Mains run-up,,,Full Performance
2021-01-06 23:24:34,-,-,Informational,100210,Mains operation,,,Full Performance
2021-01-07 07:59:02,2021-01-07 08:01:20,00:02:18,Stop,710,Battery test,,Operating states  (28),Technical Standby
2021-01-07 07:59:02,-,-,Informational,100030,Brake program 180,,,Technical Standby
2021-01-07 08:01:20,-,-,Informational,0,System OK,,System OK (32),Full Performance
2021-01-07 08:01:20,-,-,Informational,100110,Bypass limit switches,,,Full Performance
2021-01-07 08:01:25,-,-,Informational,100130,Automatic start-up,,,Full Performance
2021-01-07 08:03:25,-,-,Informational,100140,System test 1,,,Technical Standby
2021-01-07 08:03:30,-,-,Informational,100150,System test 2,,,Technical Standby
2021-01-07 08:03:45,-,-,Informational,100160,System test 3,,,Technical Standby
2021-01-07 08:04:00,-,-,Informational,100180,Run-up,,,Technical Standby
2021-01-07 08:06:16,-,-,Informational,100190,Mains connection,,,Full Performance
2021-01-07 08:06:27,-,-,Informational,100200,Mains run-up,,,Full Performance
2021-01-07 08:06:57,-,-,Informational,100210,Mains operation,,,Full Performance
2021-01-07 15:36:38,2021-01-07 15:37:26,00:00:48,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification
2021-01-07 15:36:38,-,-,Informational,100070,Brake program 50,,,Out of Environmental Specification
2021-01-07 15:37:26,-,-,Informational,0,System OK,,System OK (32),Full Performance
2021-01-07 15:37:26,-,-,Informational,100130,Automatic start-up,,,Full Performance
2021-01-07 15:39:59,-,-,Informational,100180,Run-up,,,Technical Standby
2021-01-07 15:41:23,-,-,Informational,100190,Mains connection,,,Full Performance
2021-01-07 15:41:34,-,-,Informational,100200,Mains run-up,,,Full Performance
2021-01-07 15:42:04,-,-,Informational,100210,Mains operation,,,Full Performance
2021-01-07 15:50:34,2021-01-07 15:51:21,00:00:47,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification
2021-01-07 15:50:34,-,-,Informational,100070,Brake program 50,,,Out of Environmental Specification
2021-01-07 15:51:21,-,-,Informational,0,System OK,,System OK (32),Full Performance
2021-01-07 15:51:21,-,-,Informational,100130,Automatic start-up,,,Full Performance
2021-01-07 15:58:09,-,-,Informational,100180,Run-up,,,Technical Standby
2021-01-07 15:59:51,-,-,Informational,100190,Mains connection,,,Full Performance
2021-01-07 16:00:02,-,-,Informational,100200,Mains run-up,,,Full Performance
2021-01-07 16:00:32,-,-,Informational,100210,Mains operation,,,Full Performance
2021-01-07 16:18:28,2021-01-07 16:19:15,00:00:47,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification
2021-01-07 16:18:28,-,-,Informational,100070,Brake program 50,,,Out of Environmental Specification
2021-01-07 16:19:15,-,-,Informational,0,System OK,,System OK (32),Full Performance
2021-01-07 16:19:15,-,-,Informational,100130,Automatic start-up,,,Full Performance
2021-01-07 16:21:28,-,-,Informational,100180,Run-up,,,Technical Standby
2021-01-07 16:23:20,-,-,Informational,100190,Mains connection,,,Full Performance
2021-01-07 16:23:31,-,-,Informational,100200,Mains run-up,,,Full Performance
2021-01-07 16:24:01,-,-,Informational,100210,Mains operation,,,Full Performance
2021-01-07 16:32:14,2021-01-07 16:33:02,00:00:48,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification
2021-01-07 16:32:14,-,-,Informational,100070,Brake program 50,,,Out of Environmental Specification
2021-01-07 16:33:02,-,-,Informational,0,System OK,,System OK (32),Full Performance
2021-01-07 16:33:02,-,-,Informational,100130,Automatic start-up,,,Full Performance
2021-01-07 16:46:14,-,-,Informational,100180,Run-up,,,Technical Standby
2021-01-07 16:48:02,-,-,Informational,100190,Mains connection,,,Full Performance
2021-01-07 16:48:13,-,-,Informational,100200,Mains run-up,,,Full Performance
2021-01-07 16:48:43,-,-,Informational,100210,Mains operation,,,Full Performance
2021-01-07 17:09:34,2021-01-07 17:10:22,00:00:48,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification
2021-01-07 17:09:34,-,-,Informational,100070,Brake program 50,,,Out of Environmental Specification
2021-01-07 17:10:22,-,-,Informational,0,System OK,,System OK (32),Full Performance
2021-01-07 17:10:22,-,-,Informational,100130,Automatic start-up,,,Full Performance
2021-01-07 17:24:58,-,-,Informational,100180,Run-up,,,Technical Standby
2021-01-07 17:26:37,-,-,Informational,100190,Mains connection,,,Full Performance
2021-01-07 17:26:47,-,-,Informational,100200,Mains run-up,,,Full Performance
2021-01-07 17:27:17,-,-,Informational,100210,Mains operation,,,Full Performance
2021-01-07 17:30:17,2021-01-07 17:31:05,00:00:48,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification
2021-01-07 17:30:17,-,-,Informational,100070,Brake program 50,,,Out of Environmental Specification
2021-01-07 17:31:05,-,-,Informational,0,System OK,,System OK (32),Full Performance
2021-01-07 17:31:05,-,-,Informational,100130,Automatic start-up,,,Full Performance
2021-01-07 17:49:31,-,-,Informational,100180,Run-up,,,Technical Standby
2021-01-07 17:51:43,-,-,Informational,100190,Mains connection,,,Full Performance
2021-01-07 17:51:54,-,-,Informational,100200,Mains run-up,,,Full Performance
2021-01-07 17:52:24,-,-,Informational,100210,Mains operation,,,Full Performance
2021-01-07 17:53:54,2021-01-07 17:54:42,00:00:48,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification
2021-01-07 17:53:54,-,-,Informational,100070,Brake program 50,,,Out of Environmental Specification
2021-01-07 17:54:42,-,-,Informational,0,System OK,,System OK (32),Full Performance
2021-01-07 17:54:42,-,-,Informational,100130,Automatic start-up,,,Full Performance
2021-01-07 17:59:49,-,-,Informational,100180,Run-up,,,Technical Standby
2021-01-07 18:01:34,-,-,Informational,100190,Mains connection,,,Full Performance
2021-01-07 18:01:45,-,-,Informational,100200,Mains run-up,,,Full Performance
2021-01-07 18:02:15,-,-,Informational,100210,Mains operation,,,Full Performance
2021-01-07 21:02:01,2021-01-07 21:02:48,00:00:47,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification
2021-01-07 21:02:01,-,-,Informational,100070,Brake program 50,,,Out of Environmental Specification
2021-01-07 21:02:48,-,-,Informational,0,System OK,,System OK (32),Full Performance
2021-01-07 21:02:48,-,-,Informational,100130,Automatic start-up,,,Full Performance
2021-01-07 21:55:06,-,-,Informational,100180,Run-up,,,Technical Standby
2021-01-07 21:56:25,-,-,Informational,100190,Mains connection,,,Full Performance
2021-01-07 21:56:35,-,-,Informational,100200,Mains run-up,,,Full Performance
2021-01-07 21:57:05,-,-,Informational,100210,Mains operation,,,Full Performance
2021-01-08 03:25:41,2021-01-08 03:26:29,00:00:48,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification
2021-01-08 03:25:41,-,-,Informational,100070,Brake program 50,,,Out of Environmental Specification
2021-01-08 03:26:29,-,-,Informational,0,System OK,,System OK (32),Full Performance
2021-01-08 03:26:29,-,-,Informational,100130,Automatic start-up,,,Full Performance
2021-01-08 03:41:07,-,-,Informational,100180,Run-up,,,Technical Standby
2021-01-08 03:43:42,-,-,Informational,100190,Mains connection,,,Full Performance
2021-01-08 03:43:53,-,-,Informational,100200,Mains run-up,,,Full Performance
2021-01-08 03:44:23,-,-,Informational,100210,Mains operation,,,Full Performance
2021-01-08 04:12:09,2021-01-08 04:12:57,00:00:48,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification
2021-01-08 04:12:09,-,-,Informational,100070,Brake program 50,,,Out of Environmental Specification
2021-01-08 04:12:57,-,-,Informational,0,System OK,,System OK (32),Full Performance
2021-01-08 04:12:57,-,-,Informational,100130,Automatic start-up,,,Full Performance
2021-01-08 04:51:52,-,-,Informational,100180,Run-up,,,Technical Standby
2021-01-08 04:53:51,-,-,Informational,100190,Mains connection,,,Full Performance
2021-01-08 04:54:02,-,-,Informational,100200,Mains run-up,,,Full Performance
2021-01-08 04:54:32,-,-,Informational,100210,Mains operation,,,Full Performance
2021-01-08 05:46:59,2021-01-08 05:47:46,00:00:47,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification
2021-01-08 05:46:59,-,-,Informational,100070,Brake program 50,,,Out of Environmental Specification
2021-01-08 05:47:46,-,-,Informational,0,System OK,,System OK (32),Full Performance
2021-01-08 05:47:46,-,-,Informational,100130,Automatic start-up,,,Full Performance
2021-01-08 14:54:54,-,-,Informational,100180,Run-up,,,Technical Standby
2021-01-08 14:56:47,-,-,Informational,100190,Mains connection,,,Full Performance
2021-01-08 14:56:58,-,-,Informational,100200,Mains run-up,,,Full Performance
2021-01-08 14:57:28,-,-,Informational,100210,Mains operation,,,Full Performance
2021-01-08 15:08:51,2021-01-08 15:09:39,00:00:48,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification
2021-01-08 15:08:51,-,-,Informational,100070,Brake program 50,,,Out of Environmental Specification
2021-01-08 15:09:39,-,-,Informational,0,System OK,,System OK (32),Full Performance
2021-01-08 15:09:39,-,-,Informational,100130,Automatic start-up,,,Full Performance
2021-01-08 15:11:43,-,-,Informational,100180,Run-up,,,Technical Standby
